response_status,region,area,cabang,skala_usaha,sektor,status_debitur
completed,Denpasar,SME Banking Center Denpasar,,Kecil,Perdagangan,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Konstruksi,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Menengah,Lainnya,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Konstruksi,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Lainnya,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Lainnya,Debitur
completed,Denpasar,SME Banking Center Denpasar,,Kecil,Penyediaan Akomodasi dan Penyediaan Makan Minum,Debitur
completed,Denpasar,SME Banking Center Denpasar,,Kecil,Industri Pengolahan,Debitur
completed,Denpasar,SME Banking Center Denpasar,,Kecil,Perdagangan,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Pertanian dan Perkebunan,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Perdagangan,Debitur
completed,Bandung Asia Afrika,SME Banking Floor Cirebon,,Kecil,Perdagangan,Debitur
completed,Pontianak,SME Banking Center Pontianak,,Kecil,Lainnya,Debitur
completed,Bandung Surapati,SME Banking Center Bandung Surapati,,Kecil,Industri Pengolahan,Debitur
completed,Region VII  - Jawa II,Magelang,18500,Kecil,Perdagangan,Non-Debitur
completed,Makassar,SME Banking Center Makassar,,Kecil,Lainnya,Debitur
completed,Surabaya Pemuda,SME Banking Floor Jember,,Kecil,Perdagangan,Debitur
completed,Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,,Besar,Lainnya,Debitur
completed,Surabaya Pemuda,SME Banking Floor Jember,,Kecil,Pertanian dan Perkebunan,Debitur
completed,Jayapura,SME Banking Floor Sorong,,Kecil,Perdagangan,Debitur
completed,Surabaya Niaga,SME Banking Floor Kediri,,Kecil,Pertanian dan Perkebunan,Debitur
completed,Palembang,SME Banking Floor Pangkalpinang,,Kecil,Perdagangan,Debitur
completed,Surabaya Niaga,SME Banking Floor Kediri,,Besar,Lainnya,Debitur
completed,Palembang,SME Banking Center Palembang,,Kecil,Lainnya,Debitur
completed,Surabaya Niaga,SME Banking Center Surabaya Niaga,,Kecil,Perdagangan,Debitur
completed,Surabaya Niaga,SME Banking Floor Kediri,,Kecil,Pertanian dan Perkebunan,Debitur
completed,Surabaya Niaga,SME Banking Floor Gresik,,Kecil,Lainnya,Debitur
completed,Surabaya Niaga,SME Banking Floor Kediri,,Kecil,Industri Pengolahan,Debitur
